Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	30426418	30426423	30426418	30426423	5
1	30426454	30426455	36	32	1
2	30426486	30426487	32	32	1
3	30426518	30426523	32	36	5
4	30426554	30426555	36	32	1
5	30426586	30426587	32	32	1
6	30426622	30426623	36	36	1
7	30426654	30426655	32	32	1
8	30426686	30426687	32	32	1
9	30426722	30426723	36	36	1
10	30426754	30426755	32	32	1
11	30426786	30426787	32	32	1
12	30426818	30426823	32	36	5
13	30426850	30426855	32	32	5
14	30426886	30426887	36	32	1
15	30426918	30426923	32	36	5
16	30426950	30426955	32	32	5
17	30426986	30426987	36	32	1
18	30427018	30427023	32	36	5
19	30427050	30427055	32	32	5
20	30427086	30427087	36	32	1
21	30427118	30427123	32	36	5
22	30427154	30427155	36	32	1
23	30427186	30427187	32	32	1
24	30427218	30427223	32	36	5
25	30427254	30427255	36	32	1
26	30427286	30427287	32	32	1
27	30427318	30427323	32	36	5
28	30427354	30427355	36	32	1
29	30427386	30427387	32	32	1
30	30427419	30427423	33	36	4
31	30427454	30427423	35	0	31
32	30427454	30427455	0	32	1
33	30427486	30427487	32	32	1
34	30427522	30427523	36	36	1
35	30427554	30427555	32	32	1
36	30427586	30427587	32	32	1
37	30427622	30427623	36	36	1
38	30427654	30427655	32	32	1
39	30427686	30427687	32	32	1
40	30427718	30427723	32	36	5
41	30427750	30427723	32	0	27
42	30427750	30427755	0	32	5
43	30427786	30427787	36	32	1
44	30427818	30427787	32	0	31
45	30427818	30427823	0	36	5
46	30427850	30427855	32	32	5
47	30427886	30427887	36	32	1
48	30427918	30427923	32	36	5
49	30427950	30427955	32	32	5
50	30427986	30427987	36	32	1
51	30428018	30428023	32	36	5
52	30428054	30428055	36	32	1
53	30428086	30428087	32	32	1
54	30428118	30428123	32	36	5
55	30428154	30428155	36	32	1
56	30428186	30428187	32	32	1
57	30428218	30428223	32	36	5
58	30428254	30428255	36	32	1
59	30428286	30428287	32	32	1
60	30428318	30428323	32	36	5
61	30428354	30428355	36	32	1
62	30428386	30428387	32	32	1
63	30428422	30428423	36	36	1
64	30428454	30428455	32	32	1
65	30428486	30428487	32	32	1
66	30428522	30428523	36	36	1
67	30428554	30428555	32	32	1
68	30428586	30428587	32	32	1
69	30428622	30428623	36	36	1
70	30428654	30428655	32	32	1
71	30428686	30428687	32	32	1
72	30428718	30428723	32	36	5
73	30428750	30428755	32	32	5
74	30428786	30428787	36	32	1
75	30428818	30428823	32	36	5
76	30428850	30428855	32	32	5
77	30428886	30428887	36	32	1
78	30428918	30428923	32	36	5
79	30428950	30428955	32	32	5
80	30428986	30428987	36	32	1
81	30429018	30429023	32	36	5
82	30429054	30429055	36	32	1
83	30429086	30429087	32	32	1
84	30429118	30429123	32	36	5
85	30429154	30429155	36	32	1
86	30429186	30429187	32	32	1
87	30429218	30429223	32	36	5
88	30429254	30429255	36	32	1
89	30429286	30429287	32	32	1
90	30429318	30429323	32	36	5
91	30429354	30429355	36	32	1
92	30429386	30429387	32	32	1
93	30429422	30429423	36	36	1
94	30429454	30429455	32	32	1
95	30429486	30429487	32	32	1
96	30429522	30429523	36	36	1
97	30429554	30429555	32	32	1
98	30429586	30429587	32	32	1
99	30429618	30429623	32	36	5
100	30429651	30429655	33	32	4
101	30429686	30429687	35	32	1
102	30429718	30429723	32	36	5
103	30429750	30429723	32	0	27
104	30429750	30429755	0	32	5
105	30429782	30429788	32	33	6
106	30429814	30429823	32	35	9
107	30429850	30429855	36	32	5
108	30429882	30429887	32	32	5
109	30429918	30429924	36	37	6
110	30429950	30429955	32	31	5
111	30429982	30429987	32	32	5
112	30430018	30430023	36	36	5
113	30430050	30430055	32	32	5
114	30430082	30430087	32	32	5
115	30430118	30430123	36	36	5
116	30430154	30430155	36	32	1
117	30430186	30430187	32	32	1
118	30430222	30430223	36	36	1
119	30430254	30430255	32	32	1
120	30430286	30430287	32	32	1
121	30430322	30430323	36	36	1
122	30430354	30430355	32	32	1
123	30430386	30430387	32	32	1
124	30430418	30430423	32	36	5
125	30430450	30430455	32	32	5
126	30430486	30430487	36	32	1
127	30430518	30430523	32	36	5
128	30430550	30430555	32	32	5
129	30430586	30430587	36	32	1
130	30430618	30430623	32	36	5
131	30430650	30430655	32	32	5
132	30430686	30430687	36	32	1
133	30430718	30430723	32	36	5
134	30430754	30430755	36	32	1
135	30430786	30430787	32	32	1
136	30430818	30430823	32	36	5
137	30430854	30430855	36	32	1
138	30430886	30430887	32	32	1
139	30430918	30430923	32	36	5
140	30430954	30430955	36	32	1
141	30430986	30430987	32	32	1
142	30431018	30431023	32	36	5
143	30431054	30431055	36	32	1
144	30431086	30431087	32	32	1
145	30431118	30431123	32	36	5
146	30431154	30431155	36	32	1
147	30431186	30431187	32	32	1
148	30431218	30431223	32	36	5
149	30431254	30431255	36	32	1
150	30431286	30431287	32	32	1
151	30431322	30431323	36	36	1
152	30431354	30431355	32	32	1
153	30431386	30431387	32	32	1
154	30431422	30431423	36	36	1
155	30431454	30431455	32	32	1
156	30431486	30431487	32	32	1
157	30431522	30431523	36	36	1
158	30431554	30431555	32	32	1
159	30431586	30431587	32	32	1
160	30431618	30431623	32	36	5
161	30431650	30431655	32	32	5
162	30431686	30431687	36	32	1
163	30431718	30431723	32	36	5
164	30431750	30431755	32	32	5
165	30431783	30431787	33	32	4
166	30431814	30431823	31	36	9
167	30431850	30431855	36	32	5
168	30431882	30431887	32	32	5
169	30431918	30431923	36	36	5
170	30431950	30431955	32	32	5
171	30431987	30431987	37	32	0
172	30432018	30432023	31	36	5
173	30432050	30432056	32	33	6
174	30432086	30432087	36	31	1
175	30432118	30432123	32	36	5
176	30432154	30432155	36	32	1
177	30432186	30432187	32	32	1
178	30432218	30432223	32	36	5
179	30432254	30432255	36	32	1
180	30432286	30432287	32	32	1
181	30432318	30432323	32	36	5
182	30432354	30432355	36	32	1
183	30432386	30432387	32	32	1
184	30432418	30432423	32	36	5
185	30432454	30432423	36	0	31
186	30432486	30432423	32	0	63
187	30432518	30432423	32	0	95
188	30432554	30432423	36	0	131
189	30432586	30432423	32	0	163
190	30432618	30432423	32	0	195
191	30432654	30432423	36	0	231
192	30432686	30432423	32	0	263
193	30432718	30432423	32	0	295
194	30432754	30432423	36	0	331
195	30432786	30432423	32	0	363
196	30432818	30432423	32	0	395
197	30432854	30432423	36	0	431
198	30432854	30432455	0	32	399
199	30432886	30432891	32	436	5
200	30432918	30432923	32	32	5
201	30432954	30432955	36	32	1
202	30432986	30432991	32	36	5
203	30433022	30433023	36	32	1
204	30433054	30433055	32	32	1
205	30433086	30433091	32	36	5
206	30433122	30433123	36	32	1
207	30433154	30433155	32	32	1
208	30433190	30433191	36	36	1
209	30433222	30433223	32	32	1
210	30433254	30433255	32	32	1
211	30433290	30433291	36	36	1
212	30433322	30433323	32	32	1
213	30433354	30433323	32	0	31
214	30433354	30433355	0	32	1
215	30433386	30433355	32	0	31
216	30433418	30433355	32	0	63
217	30433450	30433355	32	0	95
218	30433482	30433355	32	0	127
219	30433518	30433355	36	0	163
220	30433550	30433355	32	0	195
221	30433582	30433355	32	0	227
222	30433618	30433355	36	0	263
223	30433650	30433355	32	0	295
224	30433682	30433355	32	0	327
225	30433718	30433355	36	0	363
226	30433750	30433355	32	0	395
227	30433783	30433355	33	0	428
228	30433818	30433355	35	0	463
229	30433850	30433355	32	0	495
230	30433882	30433355	32	0	527
231	30433882	30433391	0	36	491
232	30433918	30433391	36	0	527
233	30433950	30433955	32	564	5
234	30433982	30433991	32	36	9
235	30434018	30433991	36	0	27
236	30434050	30433991	32	0	59
237	30434082	30433991	32	0	91
238	30434118	30433991	36	0	127
239	30434150	30433991	32	0	159
240	30434182	30433991	32	0	191
241	30434218	30433991	36	0	227
242	30434250	30433991	32	0	259
243	30434286	30433991	36	0	295
244	30434318	30433991	32	0	327
245	30434350	30433991	32	0	359
246	30434386	30433991	36	0	395
247	30434418	30433991	32	0	427
248	30434450	30433991	32	0	459
249	30434486	30433991	36	0	495
250	30434518	30433991	32	0	527
251	30434550	30433991	32	0	559
252	30434586	30433991	36	0	595
253	30434586	30434023	0	32	563
254	30434618	30434023	32	0	595
255	30434650	30434655	32	632	5
256	30434686	30434691	36	36	5
257	30434718	30434723	32	32	5
258	30434750	30434755	32	32	5
259	30434786	30434791	36	36	5
260	30434822	30434823	36	32	1
261	30434854	30434855	32	32	1
262	30434886	30434891	32	36	5
263	30434922	30434923	36	32	1
264	30434954	30434955	32	32	1
265	30434986	30434991	32	36	5
266	30435022	30435023	36	32	1
267	30435054	30435055	32	32	1
268	30435090	30435091	36	36	1
269	30435122	30435123	32	32	1
270	30435154	30435155	32	32	1
271	30435190	30435191	36	36	1
272	30435222	30435223	32	32	1
273	30435254	30435255	32	32	1
274	30435286	30435291	32	36	5
275	30435318	30435323	32	32	5
276	30435354	30435355	36	32	1
277	30435386	30435391	32	36	5
