Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	29881858	29881806	29881858	29881806	52
1	29881895	29881842	37	36	53
2	29881926	29881942	31	100	16
3	29881958	29881942	32	0	16
4	29881958	29881974	0	32	16
5	29881994	29881974	36	0	20
6	29881994	29882006	0	32	12
7	29882026	29882006	32	0	20
8	29882026	29882042	0	36	16
9	29882062	29882042	36	0	20
10	29882062	29882074	0	32	12
11	29882094	29882074	32	0	20
12	29882094	29882106	0	32	12
13	29882130	29882106	36	0	24
14	29882130	29882142	0	36	12
15	29882162	29882142	32	0	20
16	29882162	29882174	0	32	12
17	29882198	29882206	36	32	8
18	29882234	29882206	36	0	28
19	29882234	29882242	0	36	8
20	29882266	29882274	32	32	8
21	29882298	29882306	32	32	8
22	29882334	29882342	36	36	8
23	29882370	29882342	36	0	28
24	29882402	29882342	32	0	60
25	29882402	29882374	0	32	28
26	29882434	29882374	32	0	60
27	29882470	29882374	36	0	96
28	29882502	29882374	32	0	128
29	29882538	29882374	36	0	164
30	29882570	29882374	32	0	196
31	29882570	29882474	0	100	96
32	29882606	29882606	36	132	0
33	29882638	29882642	32	36	4
34	29882670	29882674	32	32	4
35	29882706	29882706	36	32	0
36	29882738	29882742	32	36	4
37	29882770	29882742	32	0	28
38	29882806	29882742	36	0	64
39	29882838	29882742	32	0	96
40	29882870	29882742	32	0	128
41	29882906	29882742	36	0	164
42	29882938	29882742	32	0	196
43	29882938	29882774	0	32	164
44	29882970	29882774	32	0	196
45	29883006	29883006	36	232	0
46	29883038	29883042	32	36	4
47	29883070	29883074	32	32	4
48	29883106	29883106	36	32	0
49	29883138	29883142	32	36	4
